,query,comment_id,comment,room_type,fuzzy_room_type
20,关于前台服务和整体满意度的评论,20,"跨越16小时航程的温暖归家——广州花园酒店极致体验

当行李箱轮子与广州白云机场T2航站楼地面接触的那一刻，连日的疲惫都在看到""广州花园酒店""迎宾灯牌的瞬间消散。作为一家在异国漂泊数十载后重返故土的游子，这家承载着城市记忆的五星级酒店，用超越期待的服务为我们构筑了最动人的归家仪式。

初遇即感动：Ann女士的""宾至如归""方程式
推开通往大堂的旋转门，身着香槟色制服的Ann女士早已伫立在晨光中。她接过我们的证件时特意调整至45度躬身角度，这个细微动作让刚下飞机的我们倍感尊重。""您二位应该需要先补充能量，""她指着自助早餐区暖黄色的灯光轻声建议，""我们的港式丝袜奶茶刚出炉，配您预订的招牌叉烧包正好。""更令人惊喜的是，在办理入住时她主动递来升级房卡：""行政楼层今天正好有空房，考虑到您二位的长途旅程，特别为您预留了景观房。""这份预见性服务让我们还未踏入房间就已感受到被珍视的幸福。

沉浸式体验：藏在细节里的东方待客之道
踏入25层行政套房那一刻，扑面而来的岭南花茶香构成了独特的欢迎仪式。房间明亮宽敞，设计特具中国传统，就连空调出风口都萦绕着淡淡的白茶香——这些看似微不足道的细节，实则是本土化服务的精髓所在。当客服轻轻推开房门送上新鲜水果时，我们真切理解了何为""润物细无声""的关怀。

舌尖上的乡愁：米其林星厨演绎广府美食
位于酒店三层的桃园厅为住客精心安排广式早茶点心，更是唤醒了童年的回忆。最令人难忘的虾饺烧卖，每一口都是地道的广式甜蜜。

离别时的不舍：镌刻在时光里的美好，我们相约来年的相聚
这不仅仅是一次住宿体验，更是一场穿越时空的文化对话。从大堂穹顶的岭南园林壁画，到客房迷你吧里香茶，到行政酒廊的珠江夜景鸡尾酒——广州花园酒店用百年匠心诠释着何为""家外之家""。特别感谢Ann女士及其团队，他们让我们在16小时飞行后找回了作为广州人的文化认同与归属感。相信这座岭南明珠，必将继续以东方待客之道的精髓，为每一位远道而来的游子点亮归途的明灯。",花园双床房,双床房
21,关于整体满意度和景观/朝向的评论,21,第二次入住广州花园酒店，进门就闻到了熟悉的香氛味道。广交会期间客人很多，但酒店工作人员基本应对自如，忙碌且有序。2点准时入住，这次入住红棉双床套房，中式装修风格，更适合国人审美房间面相花园和泳池景观。恰逢阴雨大风天气，下午在一楼行政酒廊下午茶+欢乐时光，看着窗外的风雨交加和云卷云舒，很惬意。晚餐在30楼的凌璇阁，住店客人可享5折优惠，最近也有凭景点打卡记录享餐厅买一赠一活动。至于餐食和口味，倒是没有特别惊艳。第二天早餐后大堂小何帮办理了快捷退房，小郑经理介绍了????羊羊吉祥物，忍不住入手了龙年限定版??图14，照例逛了后花园和4楼博物馆，可谓花园酒店的精髓。嗯，下次还来！,红棉双床套房,套房
22,关于前台服务和整体满意度的评论,22,"每次到广州出差都会选择花园酒店，首先老牌五星酒店值得信赖，再加服务方面确实比较扎实，感谢前台接待CECILIA，办理入住非常热情周到，还要感谢一下行政酒廊的，Carrie跟Kitty,服务都是很热情周到，让每一位旅客感觉到宾至如归的感觉，下次来广州依然会选择花园酒店！！！",花园双床房,双床房
23,关于前台服务和体验的评论,23,前台对业务不太熟悉，入住第二晚在前台询问晚餐时间及价钱，前台两位工作人员都不知道（也可能是实习生），需打电话询问，且想当然的认为我们只是来吃饭的，导致信息有偏差。除此以外，都不错。,花园大床房,大床房
24,关于性价比和周边配套的评论,24,房间很好，符合预期，位置也很方便，距离商业圈很近，都是步行5分钟的距离。电梯好多我有点迷糊～35块钱包minibar部分软饮我觉得是比较划算的，前台送了玫瑰花和冰箱贴，很美～,花园大床房,大床房
25,关于交通便利性和周边配套的评论,25,"花园酒店环境幽雅别致。
服务：服务满意
卫生：满意
荔湾亭茶点满意
早餐一层就餐人较多，需要等位。早餐菜品不是很多。四层博物馆需要预约，值得去。还有文创产品。目前酒店旁边有工地装修有点减分。酒店离淘金地铁站很近，去东山口就两站地很方便，很多景区地铁都直达。打车也很方便。酒店离市区必逛的景区都很近。酒店是涉外酒店，外国人较多。",花园大床房,大床房
26,关于安静程度和房间设施的评论,26,"环境：整体酒店环境设计很好，瀑布和花园很有特色，贝聿铭的设计是加分项，酒店博物馆也用心了，不住也可也来逛逛拍照。老牌五星级酒店的水准还在，只是房间内有些年代留下的痕迹，酒店房间也在逐步更新，外围有修地铁施工确实噪音影响很大，临近的房间影响休息，广州规定是早七晚十可施工，但施工单位违规，投诉效果不佳，酒店也有做提示。
服务：五星酒店的服务没得挑，携程铂金会员给升级了岭南金卡会员的优待，升了房型，因为室内空气和室外噪音问题，客服部帮忙换了两次房间，还赠送了早餐，客户的诉求相应很快，会员让人有再次入住的想法。
早餐：一层和三十层的早餐都是自助，种类差不多，不太符合美食之都五星酒店该有的水准，味道中规中矩。一层八点半后人很多，需要等位。三十层位置少，可远眺城景，安静很多。三层是套餐，座位有限，最好预约一下，这次没吃到。
设施：床品很好，舒服，可按需求选枕头，行政大床房的床垫是乳胶的，自带角度，非常好。洗漱用品的品牌和五星不太匹配，使用上没什么问题。",花园大床房,大床房
27,关于退房/入住效率和景观/朝向的评论,27,"怎么说呢，
冲着酒店历史和硬件来的
美中不足的是第一天入住就给我搞得3点办理完成
我定了三间房间，全部全部冲施工方向
最后给我更换了
后花园很美丽
鱼都养的胖胖的",花园双床房,双床房
28,关于房间设施和前台服务的评论,28,"作为一家老牌白金五星级酒店，酒店环境依然是酒店门面。

设施：刚到房间就遇到打不开门，又要跑下楼找前台，前台服务人员非常积极应对，并及时找工作人员上楼查看，原来门把手要反使用习惯先向上提一下再往下按才打得开门，可之后进出又不用先向上提了。房间内的设施就真的让人大跌眼镜！首先图一可以看到洗手间和淋浴间是共用一扇门，但这扇门无论是在马桶那边还是在淋浴这边，门居然都是倾斜的！根本无法完全关闭，留着一条粗壮的门缝。其次浴缸的花洒托架也是松动的，从图二可见底托已经完全脱离了墙壁，感觉随时都会脱落下来。由此可见酒店平时就疏于对房间设施的有效维护。

卫生：图三是卫生间的墙角，坐在马桶上就能看到这厚厚的污渍，就这么看也有一年半载的量了吧。

服务：本来是想给三颗星的，原因晚上十一点半临时要开车出去，结果到大堂前厅办理停车票的时候居然发现整个前厅都没有工作人员！又要走进去大堂找前台服务人员帮忙，还要前台服务人员打电话给前厅的服务人员叫人过来，打完电话还要登了几分钟才有人来。最后给半颗星原因退房寄存行李后和家人朋友外出吃饭聊天直到下午四点多才回酒店拿行李并办理停车出场。结果在办理停车的时候这个叫     ROY    的服务人员一脸嫌弃的说我们不能办理停车，有人办理了。当时我们都莫名其妙一下子也都不明白啥意思。接着这个叫   ROY   的服务人员说一间房不能办理两台车，我们就更不懂了，明明我们才来办理怎么就不能办理呢？何况我们真的开了两台车过来。经过一番争论后原来是有其他人挂在我们房间下。而这位叫   ROY.   的服务人员也并没有表达歉意，并且由始至终都是一副厌烦的态度在对待我们。果真白金五星级酒店的待客之道就是有独特的见解。

相比2024年5月入住的时候整体水平可以用天差地别来形容。",花园大床房,大床房
29,关于公共设施和整体满意度的评论,29,三八妇女节遇上了阴冷天，咱来个投机取巧，选择了广州花园酒店，周六上午午饭后，步行进入酒店，前后还送了二枝??。这家酒店1985年营业至今四十年哦。依然保持着五星级水准，难能可贵是在酒店四层，开了个世界酒店史话主题的博物馆，里面珍藏品不少咧。酒店后花园也属于别具匠心精心布置有三个瀑布，锦鲤鱼池，小桥，鲜花朵朵草地绿油油的，地方不大小巧玲珑的。,花园大床房,大床房
30,关于前台服务和餐饮设施的评论,30,没想到我们自己国家也有歧视中国人的服务员。我和朋友排队等待进入餐厅吃早饭的时候，有四五个外国人一起排在我们前面，他们等候一分钟左右便入场。等我们排到队伍最前时，服务生说现在等候时间不确定，可能会等很久，建议我们去高层另一处早餐厅。我和朋友是为了一楼早餐厅山水景观专门来住宿、就餐，所以决定继续等待。期间服务员反复说“不确定等候多久，建议上楼就餐”，然而她们并没有和前面的外国人顾客说这些。并且，当我和朋友等待两三分钟入场后，发现早餐厅空位很多，尤其是水果餐区附近几乎没有几个客人。以后绝不会再来这家酒店。我不需要道歉，不需要解释，酒店餐厅不专业的服务已经说明了一切。,花园双床房,双床房
31,关于景观/朝向和交通便利性的评论,31,"优点：
酒店很大很漂亮，住的高层，窗外风景很棒。服务也很不错。离地铁站近，出门很方便。
酒店有历史底蕴，四楼有博物馆，展现了酒店业的发展，也让我种草了好多酒店，下次来广州一定要去体验。
不足：
办理入住排队时间较久；荔湾亭茶点一般，早餐还行，就是早餐要排队，瀑布餐厅着实小了点。
总体感觉还不错。",花园双床房,双床房
32,关于整体满意度和房间设施的评论,32,花园酒店给我和孩子的感觉是一点都不像老酒店，不管是设施还是服务都特别不错，酒店当天还免费给我们升级了房型，干净、温馨、大气。另外，店内荔湾亭的餐食也是不错的，瀑布餐厅的自助餐虽然品种较少，但其实我们想吃的食物也不会太多，也都能满足。谢谢花园酒店，让我和孩子三天两夜的广州之行过得非常愉快。PS：这也是一家有博物馆的酒店。,花园双床房,双床房
33,关于前台服务和景观/朝向的评论,33,老牌地标性酒店，独占好位置。酒店太大了，入住时有很多团队，是我办理check-in最混乱的一次，带着老人也没有能休息的地方，也找不到引导人员，非常尴尬。好在房间不错，房间窗外能能远眺半截小蛮腰。两家餐厅桃园馆和荔湾亭的出品尚可，但是通过客服中心电话预定的桃园馆位置到场后却没有安排，那么预定的意义何在呢？早餐分一楼和顶楼，怕吵选了顶楼，出品很好，但顶楼的旋转餐厅坏了，能使用的餐台餐桌停在了非常丑的朝向位置上，有些可惜了广州的天际线。,花园双床房,双床房
34,关于前台服务和房间设施的评论,34,广州花园酒店地址便捷，房间设施设备很齐全，已经续住很多天了，特别表扬前台的Winnie wei 服务态度一级棒，还有前台lavinia .表扬她们，自信有笑容。以后一定再选择这个酒店,城央绿意大床房,大床房
35,关于交通便利性和餐饮设施的评论,35,交通便利非常好，酒店国际化很多来自世界各地的游客和商务人士，酒店早餐3个餐厅选择，种类多样。一楼大厅很大鲜花多样，酒店外面还有花园等景观，瀑布餐厅装修的非常好，来广州玩的两天很舒适，酒店服务也很棒！,花园双床房,双床房
36,关于整体满意度和前台服务的评论,36,三十多年前的首选酒店，也是当时广州三家五星涉外酒店的首选！现在似乎有点老态龙钟了，花园还是一样的漂亮！但服务也还是觉对一流的，值得称赞??,红棉大床套房,套房
37,关于整体满意度和餐饮设施的评论,37,我当时查阅携程就发现这是一家久负盛名的老酒店，很有历史感，又是贝聿铭先生的设计，一下子让我决定了就订这家了。到了酒店后，感觉都很心怡，确实是一家很棒的酒店。客人特别多，但是工作人员都特别亲切周到，没有忙乱，都是井井有条。check in时还升级了房间，特别惊喜，房间宽敞明亮，设施很好。无论酒店内外还是房间内的卫生都很不错，卫生肯定是一个酒店好坏的最重要的标准。再有就是这家酒店的餐饮超级棒，是非常值得来品尝的，广州特色美食特别丰富，真是让我们流连忘返，我们就餐时还看到餐厅里有很多当地的老人，可见实至名归啊。对了还有交通位置很不错，紧挨地铁站，去哪儿都方便。。。总之是很不错的广州之行。,城央绿意双床房,双床房
38,关于餐饮设施和前台服务的评论,38,花园酒店是这次去广州旅行的超预期惊喜，酒店的瀑布餐厅，云上餐厅和花园酒廊在风景和食物方面各具特色，水准一流。有设计感精心维护的瀑布花园漂亮精致，很多女孩子拍照打卡。酒店工作人员非常专业，服务暖心细致周到，礼宾部的员工会帮忙收快递客人没有剪刀他们还帮忙拆箱，前台的Lavinia Wu注意到我续订的住房没有酒廊待遇，主动送给我让我在酒店可以享受一致的待遇，酒廊的Jennifer 和Cathy细致温和令人愉快，穿金色亮片的Rain是我离店前最后的美好印象，下次来广州，花园酒店会是我的首选。,花园双床房,双床房
39,关于整体满意度和公共设施的评论,39,这次主要是带孩子出来玩的，这个酒店很适合带娃玩，酒店25处打卡景点，非常适合泡酒店，带娃不累，酒店工作人员都很热情，特别感谢Tina服务特别好！,花园大床房,大床房
40,关于交通便利性和整体满意度的评论,40,这次的花园酒店很是满意??酒店硬件无可挑剔，大堂，客房都很有设计感，交通更是方便，出门就是地铁站，对我们绿色出行非常便捷[强]前台小姐姐还给我们升级了套房，她家的自助餐更是无话可说[强][玫瑰],花园双床房,双床房
41,关于整体满意度和前台服务的评论,41,三八节和朋友出游广州入住花园酒店两天两晚，体验非常好。酒店设施古朴，风格典雅，卫生干净，环境优美，被满满的设计感和中国元素深深地吸引到了。几大亮点突出：酒店大唐富丽堂皇，空间很大，前台的美女帅哥热情耐心快捷，我是钻石会员，给我们送了餐还升级了房间；酒店有四个不同风格的餐厅，我们用餐去了一楼和顶楼，自助餐好吃，服务员热情周到；主楼后面自带花园，亭台楼阁，花团锦簇，四楼还有一个小型博物馆很值得去，因为有感觉参观酒店用了我们半天的时间。总之很满意，再到广州花园酒店是不二之选。,花园双床房,双床房
42,关于整体满意度和房间设施的评论,42,"岭南园林中的艺术殿堂 | 入住即享博物馆级体验 ??

??城市绿洲·广府文化·细节控福音

推开花园酒店的玻璃穹顶大门，仿佛踏入一座「会呼吸的艺术馆」——白孔雀雕塑在喷泉旁优雅迎客，20米高的《红楼梦》金箔壁画在长廊流转生辉，每一步都是视觉盛宴。作为住过30+五星酒店的老广，这次入住彻底刷新了我对“奢华”的定义：

? **客房亮点**  
- 入住「粤韵套房」，岭南窗花元素与智能家居融合，迷你吧竟藏着广式凉茶套装，床头柜上的手写欢迎卡是粤绣纹样，细节控狂喜！  
- 180°落地窗俯瞰环市东夜景，浴缸旁配香薰石和精油，泡澡时还能欣赏到花园瀑布景观，妥妥出片圣地。

?? **园林秘境**  
- 被住客称为「隐世花园」的后庭院超出片！锦鲤池、瀑布山石、百年古树构成都市桃源，晨跑时偶遇园丁阿叔热情介绍稀有植物，瞬间get酒店40年历史的温度。

?? **味觉惊喜**  
- 桃园馆的「荔枝木烤乳鸽」让我这个老广竖起大拇指，米其林水准果然名不虚传  
- 意外发现大堂吧有「广府下午茶」，鸡公榄造型点心+西关风情器皿，服务生小哥还会讲解每道茶点的故事

?? **服务彩蛋**  
- 礼宾部竟然有「隐藏服务」！主动提供手绘版《周边美食地图》，连肠粉店的火候差异都标注清楚  
- 退房时收到装着小羊的伴手礼，经理说「希望您把岭南小羊带回家」，这波文化输出我给满分！

最后的最后感谢?viria的热情接待",花园大床房,大床房
43,关于公共设施和餐饮设施的评论,43,"广州花园酒店是中国仅有的3家白金五星级酒店其中的一家，处处彰显其作为白金酒店的优雅高贵，以及典雅传奇。大堂的背景墙是用金打造的“红楼梦”壁画，有石刻画手漆画等，酒店自带的园林，瀑布、亭台楼阁、小桥流水等自然景象，酒店内就是一个旅游景点，美不胜收，小朋友喜欢。
还有比较值得一提的就是它们家的餐厅了。荔湾亭、瀑布餐厅、桃园馆、名仕阁、凌轩阁都是很不错的选择（一楼早餐厅晚去需要排队）。",花园双床房,双床房
44,关于前台服务和安静程度的评论,44,记得20多年前就经常住花园，后新连锁酒店雨后春笋，就很少再住花园了，这次入住，更新改造后的花园一如既往的非常豪横，给升级房型，赠送早餐，送果盘，送口罩，送送送.......，服务超级给力，令人耳目一心，但遗憾的是，西侧修地铁，从早上7点到凌晨零点，噪音巨大，当然这怪不得酒店，只是提醒办理入住时，一天要求房间要朝向环市东路一侧，否则，心理会留下阴影。,花园大床房,大床房
45,关于前台服务和整体满意度的评论,45,怎么说呢，一次很满意的入住，从前台到服务中心从客房到礼宾，都是非常专业的服务，酒店呢环境优雅美丽，软件很到位，只是硬件有待提高就更完美了,花园大床房,大床房
46,关于前台服务和整体满意度的评论,46,趁老公生日的机会，选择在花园酒店度过愉快的一晚，红棉套房套餐体验很好，提前备注酒店帮忙做了生日布置，还送了小蛋糕。各个工作人员都很热情，特别是行政酒廊Louis服务热情。,红棉大床套房,套房
47,关于客房服务和整体满意度的评论,47,过年期间商务出差二次入住。最后那次入住房间有股经久不散的异味，适逢家属患有中重度鼻炎，十分不适。所幸反馈给酒店后，客房经理马上上房间处理并第一时间帮我们换房，随后赠送了迎宾水果作为诚意。虽然此前订单中我已特别备注，入住被安排到有异味的房间，到换至新的房间时已差不多15点半，家属第二天要长时间外派出行还是稍有不悦，但所幸酒店反应迅速，态度积极热情，努力为客人解决问题，毫不推搪，又令我对该酒店重拾信心。希望下次安排入住时能参考一下客人备注需求，继续保持酒店在老广、来穗游客心中的形象和地位，下次出差时，会再次三刷体验。ps，酒店的行政礼遇不错??，品种虽少但出品保证，环境不错经常有人拍照留念，值得打卡。,花园大床房,大床房
48,关于整体满意度和房间设施的评论,48,不愧叫花园酒店，随处可见的花花，令人心旷神怡～外面看着很大气，一进去给人富丽堂皇的感觉，房间干净整洁、设施都不错。酒店内部花园有瀑布有池塘，孩子很喜欢。酒店博物馆有时间的话值得一看。很感叹于一个开业这么久的酒店能维护得这么好，酒店管理的水平相当高??,红棉大床套房,套房
49,关于前台服务和整体满意度的评论,49,服务真不错，因个人原因导致没到前台退押金，我又回家了，但是工作人员积极协调，很人性化的帮我处理了，坐了4晚感觉真不错，环境，设施，卫生，服务都很满意。,红棉大床套房,套房
